昵称,用户id,头像,身高,学历,省份,城市,出生年份,性别,交友宣言
sally大尉,1020758,http://img.7799520.com/FktY0zJ-aPZtqGROawA26n2BD8Xv,174,大专,上海,上海,1989,2,本人是游戏原画设计师，上海人310。想找一名上海310男士结婚，喜欢身体健康没有不良嗜好的类型，最好也喜欢绘画或者是程序员职业的，这样和我会有更多的共同爱好，照片有美颜过
梅乐乐,1020712,http://img.7799520.com/992ef5ed-1886-40ac-86d3-a8b1227198dd,160,本科,湖北,武汉,1995,2,真的不约p，想找个靠谱男票结婚
小蜻蜓❤,1019449,http://img.7799520.com/c75d8054-8993-43ce-8ded-931af98c936c,155,中专,福建,福州,1990,2,遇见你，遇见更好的自己！
若如初相见,1019264,http://img.7799520.com/14ea178c-1cd2-43fe-999c-720f350ecff6,156,本科,四川,成都,1991,2,现居住成都，本人善良贤惠，喜欢运动、健身、看书、看电影，孝敬父母，希望找一成都伴侣，相伴相知，找到另外的你安稳过日子，不是的，请勿扰。
相信爱情会错了？,1018938,http://img.7799520.com/2018-03-23-1521768461-9rvS25hH.png,158,高中,广东,广州,1981,2,愿得一人心，白首不相离！首先介绍下自己，产于1981，婚姻状况：丧偶！已4年！有一孩子（男孩）今年五岁！他一直随我。如果对此介意的男生，可以不考虑了！我性格开朗乐观积极，善良孝顺。对爱情执着认真！希望通过此平台找到一个相濡以沫、有责任有担当的这么一个你！我来了，你在哪
筱雪1,1018905,http://img.7799520.com/2018-03-23-1521767298-jZmTqBwN.png,163,本科,山东,青岛,1990,2,相遇靠缘分，相守靠人心！
春天的小石头,1018281,http://img.7799520.com/2018-03-22-1521730312-BQrxZeFI.png,162,大专,广东,湛江,1996,2,本人皮肤黝黑，性格开朗，喜欢动物，旅游，爱好运动，特别喜欢游泳，喜欢大海，大海就像我的母亲给我无微不至的爱，每次去到海边都会陶醉其中。我憧憬过上属于自己幸福的生活，目前在创业阶段，也比较忙，希望能寻找到一个能和我一起拼搏，能给我肩膀依靠的暖男，期待中，也相信缘分，眼缘
Aceyuki,1018043,http://img.7799520.com/2018-03-23-1521815367-Yn6qV06G.png,166,大专,广东,广州,1997,2,一切顺其自然
Kily-琪琪,1017546,http://img.7799520.com/89c0c67c-400c-4177-826f-ee15ed239ede,158,本科,广东,广州,1991,2,我性格开朗，阳光，积极向上，会做家务，我希望找个有上进心，责任心，有担当的男生，可以一起去旅游，一起买菜做饭，互相包容，互相理解，可以一起携手走进婚姻的殿堂！
潘家大小姐。,1017533,http://img.7799520.com/Fl-GE6hsnV_4pUMZg01spbUr2wXf,163,本科,海南,三亚,1987,2,你的世界很大，而我的世界，只有你。
陌、小离,1017514,http://img.7799520.com/FvY-UM40xofhlv-gqfaw41MOihcK,166,大专,贵州,贵阳,1994,2,时间慢慢的消逝，岁月渐渐的流失，亲爱的你何时出现？
Single520,1017490,http://img.7799520.com/f6c299f2-7dde-40f8-b0c5-61220ec6e99d,152,大专,广东,深圳,1980,2,愿得一人心，白首不分离！！
