公司id,职位名称,工作年限,学历,职位性质,薪资,融资状态,行业领域,招聘岗位id,公司优势,公司规模,公司标签,所在区域,技能标签,公司经度,公司纬度,公司全名
13809,Android开发工程师,3-5年,本科,全职,13k-22k,C轮,"移动互联网,金融",4190123,"互联网金融,平台大,发展好,3亿用户",500-2000人,"['带薪年假', '弹性工作时间', '年度旅游', '岗位晋升']",南山区,"['Java', '移动端']",113.955032,22.533947,深圳市随手科技有限公司
143950,Android开发工程师,3-5年,本科,全职,8k-16k,A轮,"硬件,移动互联网",3814475,"待遇好,提升空间大,度假福利,人工智能",15-50人,"['绩效奖金', '股票期权', '年终分红', '带薪年假']",南山区,"['高级', '中级', 'Java', '客户端']",113.949756,22.550734,深圳市农博创新科技有限公司
1868,android开发工程师,3-5年,本科,全职,15k-25k,上市公司,"移动互联网,金融",4229854,"专业团队,大平台",2000人以上,"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']",福田区,"['SDK', 'Java']",114.055755,22.533344,中国平安财产保险股份有限公司
144396,Android开发,3-5年,本科,全职,20k-40k,上市公司,"移动互联网,生活服务",3059655,世界500强 领导Nice 福利好,2000人以上,[],南山区,"['移动互联网', '专家', '资深', '移动端', '客户端']",113.943073,22.518898,恒大地产集团珠三角房地产开发有限公司
6927,安卓软件工程师,3-5年,本科,全职,15k-30k,不需要融资,移动互联网,2711987,海景办公 千万级用户 给力年终,2000人以上,"['丰厚年终', '扁平管理', '追求极致', '本分']",,['Android'],121.496072,31.227203,广东欧珀移动通信有限公司
40459,Android开发工程师,3-5年,本科,全职,15k-30k,B轮,移动互联网,4099859,"AI独角兽,前景广阔,福利齐全,技术领先",500-2000人,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",南山区,"['高级', '中级', '移动端', 'C++', 'opengl']",113.920038,22.494927,北京市商汤科技开发有限公司
35996,Android开发工程师,3-5年,本科,全职,13k-20k,不需要融资,"移动互联网,电子商务",699753,互联网高薪 弹性工作制 年底多薪 项目奖金,500-2000人,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",南山区,['移动端'],113.937987,22.523392,顺丰科技有限公司
180468,Android开发,3-5年,本科,全职,17k-34k,A轮,移动互联网,4030641,"股份期权,年底双薪,腾讯文化,氛围好",15-50人,"['年底双薪', '交通补助', '弹性工作', '领导好']",南山区,"['视频', 'SDK', 'opengl', '短视频', 'github']",113.946882,22.546157,深圳市星炫科技有限公司
274375,中级Android开发工程师,1-3年,大专,全职,10k-18k,不需要融资,"移动互联网,电子商务",4206276,"年终分红,年度加薪,福利待遇好,发展空间",150-500人,[],福田区,[],39.897445,116.331398,满金坝(深圳)科技有限公司
24748,android开发（深圳）,不限,本科,全职,10k-15k,不需要融资,金融,3577223,世界500 带薪年假 绩效丰厚,2000人以上,"['节日礼物', '年度旅游', '岗位晋升', '技能培训']",福田区,"['视频', '软件开发', 'C++', 'iOS']",114.055755,22.533344,平安科技（深圳）有限公司
451,SNG - Android开发工程师,1-3年,本科,全职,18k-36k,上市公司,"移动互联网 ,游戏",4161548,中国最大社交网络平台，期望你的加入,2000人以上,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",南山区,"['移动端', 'Java']",113.93361973,22.54071919,腾讯科技(深圳)有限公司
125911,Android软件工程师,不限,本科,全职,10k-15k,不需要融资,硬件,2611483,"五险一金,专业培训",50-150人,[],南山区,"['C++', 'Java', '移动端', 'MTK平板']",113.993578,22.99368,兴天实业（深圳）有限公司
50241,Android开发工程师,3-5年,大专,全职,13k-17k,未融资,"移动互联网,电子商务",4079388,"六险一金,商业保险,周末双休,带薪年假",2000人以上,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']",罗湖区,"['信息安全', '地图', 'Java']",0.0,0.0,信必优(深圳)信息技术有限公司
79761,安卓开发工程师,1-3年,本科,全职,15k-30k,不需要融资,"移动互联网,金融",4255368,BAT团队，氛围好，技术牛,2000人以上,"['节日礼物', '年底双薪', '股票期权', '带薪年假']",福田区,"['支付', '信息安全', '电商', 'Android', '移动端', '架构']",114.065893,22.539226,深圳达飞金融控股有限公司
117217,Android开发工程师,3-5年,大专,全职,10k-17k,不需要融资,移动互联网,3784065,福利待遇好，发展空间大,500-2000人,"['年底双薪', '定期体检', '绩效奖金', '技能培训']",南山区,"['C++', 'Java']",0.0,0.0,深圳市博悦科创科技有限公司
35996,Android开发工程师,3-5年,本科,全职,15k-30k,不需要融资,"移动互联网,电子商务",4070051,"五险一金,带薪年假,项目奖金,弹性工作",500-2000人,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",南山区,['软件开发'],113.937987,22.523392,顺丰科技有限公司
6927,高级Android开发工程师,3-5年,本科,全职,20k-35k,不需要融资,移动互联网,1670695,核心事业群 千万级日活 氛围好 组织扁平,2000人以上,"['丰厚年终', '扁平管理', '追求极致', '本分']",南山区,['移动端'],113.943044,22.518792,广东欧珀移动通信有限公司
451,20718-安卓系统开发工程师（深圳）,3-5年,本科,全职,18k-36k,上市公司,"移动互联网 ,游戏",4165224,"智能硬件,大空间,大平台,AI",2000人以上,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",南山区,"['信息安全', '智能硬件', 'Android', '移动端', 'C++']",113.935333,22.540406,腾讯科技(深圳)有限公司
128998,android开发工程师,3-5年,本科,全职,15k-20k,不需要融资,"移动互联网,金融",3285585,"晋升机会大,领导好,氛围好,环境高大尚",500-2000人,[],福田区,"['移动端', 'Java', 'iOS']",114.055036,22.52153,上海海万信息科技股份有限公司
136331,Android开发工程师,5-10年,本科,全职,10k-20k,上市公司,金融,4254506,"精英团队,发展空间大,福利待遇好,工作氛",2000人以上,[],福田区,[],39.897445,116.331398,第一创业证券股份有限公司
258945,Android系统开发,1-3年,本科,全职,8k-15k,不需要融资,"移动互联网,分类信息",4208761,"五险一金,提供住宿,法定假",50-150人,[],宝安区,['Java'],113.921569,22.573367,深圳市世纪天元科技有限公司
64327,安卓开发工程师,1-3年,本科,全职,7k-14k,B轮,数据服务,4088765,"五险一金,周末双休,大数据开发,重职业规划",50-150人,"['股票期权', '绩效奖金', '五险一金', '带薪年假']",南山区,"['嵌入式', '软件开发', '大数据', 'C++', 'Java', 'SAAS']",113.940008,22.540521,深圳视界信息技术有限公司
340676,Android软件工程师,3-5年,不限,全职,10k-20k,未融资,"移动互联网,企业服务",4254993,"大小周,年底双薪,包住,饭补",少于15人,"['""""']",龙华新区,"['游戏', '移动端', 'SDK', 'Java']",114.04052,22.618224,深圳市锟铻科技有限公司
63500,Android开发工程师,3-5年,大专,全职,10k-16k,不需要融资,"电子商务,金融",1190503,福利丰厚；年度旅游；定期体检,500-2000人,"['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']",福田区,['移动端'],0.0,0.0,深圳市紫川软件有限公司
200958,安卓开发工程师,3-5年,大专,全职,5k-10k,A轮,"移动互联网,生活服务",3594549,"五险一金,年终奖,期权,发展空间大",50-150人,"['节日礼物', '管理规范', '五险一金', '岗位晋升']",南山区,"['Android', 'php', 'Java', '架构']",113.970607,22.583359,深圳无忧帮帮科技有限公司
68524,Android开发,1-3年,本科,全职,10k-18k,B轮,"移动互联网,教育",666246,有意思的工作，改变中国下一代,150-500人,"['专项奖金', '股票期权', '岗位晋升', '年度旅游']",南山区,"['动漫', '游戏', 'php', 'iOS', '移动端']",113.940851,22.509672,深圳点猫科技有限公司
50241,安卓/Android开发,3-5年,大专,全职,12k-15k,未融资,"移动互联网,电子商务",4002370,"六险一金,13薪,年度体检,8天年假",2000人以上,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']",福田区,"['信息安全', '地图', 'Java', '架构']",114.087227,22.5439,信必优(深圳)信息技术有限公司
16039,Android开发工程师,不限,本科,全职,6k-12k,B轮,电子商务,457241,互联网环境、鲜肉萝莉聚集地、大牛专线指导,150-500人,"['年底双薪', '团队建设', '节日礼物', '员工每月分红']",南山区,"['Java', '移动端']",113.95225,22.527815,深圳花果山科技有限公司
110537,Android开发工程师,3-5年,本科,全职,10k-15k,B轮,移动互联网,4124312,"硅谷模式,大牛引导,弹性工作,福利多多",50-150人,"['股票期权', '专项奖金', '扁平管理', '年度旅游']",南山区,"['高级', 'Java', '移动端']",113.951606,22.537717,深圳杰睿联科技有限公司
917,高级Android开发工程师,不限,本科,全职,15k-30k,D轮及以上,"移动互联网,数据服务",2615927,攻城狮氛围、D轮、14薪+、工作餐等,150-500人,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",南山区,"['信息安全', '移动互联网', 'Java', 'iOS', '移动端']",113.907458,22.550007,深圳市和讯华谷信息技术有限公司
6927,Android系统工程师,3-5年,本科,全职,15k-30k,不需要融资,移动互联网,2662556,海景办公 飞速发展 给力年终,2000人以上,"['丰厚年终', '扁平管理', '追求极致', '本分']",南山区,['移动端'],113.943044,22.518792,广东欧珀移动通信有限公司
35996,Android研发中级工程师,3-5年,本科,全职,15k-30k,不需要融资,"移动互联网,电子商务",4101817,"五险一金,弹性工作,餐饮补贴",500-2000人,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",南山区,"['Java', 'iOS']",113.937987,22.523392,顺丰科技有限公司
451,MIG03-腾讯Android开发工程师（深圳）,3-5年,本科,全职,18k-36k,上市公司,"移动互联网 ,游戏",3805396,"大平台,大咖多,大空间,氛围好",2000人以上,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",南山区,"['C++', 'iOS', '客户端']",113.935333,22.540406,腾讯科技(深圳)有限公司
42627,Android开发工程师（互金方向）,1-3年,本科,全职,7k-14k,上市公司,"移动互联网,游戏",3926610,"客户端,开发,软件设计",500-2000人,"['节日礼物', '年底双薪', '带薪年假', '提供工作三餐']",南山区,"['资深', '高级', '中级']",113.993578,22.99368,深圳中青宝互动网络股份有限公司
103077,Android,3-5年,本科,全职,10k-15k,不需要融资,"移动互联网,O2O",2080288,定期体检 旅游 绩效奖 年终奖 培训,150-500人,"['绩效奖金', '带薪年假', '年度旅游', '年终分红']",南山区,"['移动开发', '系统开发']",113.948626,22.52751599,深圳市智慧享联网络技术有限公司
25317,Android 开发和 IOS开发,3-5年,本科,全职,13k-15k,上市公司,金融,4092522,"上市公司,大型项目,办公环境好,年度旅游",2000人以上,"['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']",福田区,['C++'],0.0,0.0,深圳市金证科技股份有限公司
87029,Android开发工程师,1-3年,本科,全职,10k-20k,上市公司,"移动互联网,金融",4209478,"上市公司,BAT班底,团队有活力,发张空间大",150-500人,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']",福田区,"['金融', 'C++', 'Java']",114.04544,22.54069,深圳市有鱼智能科技有限公司
21666,Android开发工程师,3-5年,本科,全职,6k-12k,A轮,"电子商务,金融",4235679,金融项目,500-2000人,"['年底双薪', '五险一金', '通讯津贴', '交通补助']",福田区,"['信息安全', 'SVN', '系统开发']",114.05668,22.5083,维恩贝特科技有限公司
166781,Android开发工程师,1-3年,本科,全职,9k-18k,未融资,"移动互联网,企业服务",2834847,"福利待遇好,无敌海景,五险一金,过节福利费",500-2000人,[],福田区,"['旅游', '智能硬件', '媒体', 'Java', 'iOS']",114.027021,22.52845,桂林智神信息技术有限公司
44982,高级Android开发工程师,3-5年,本科,全职,15k-30k,不需要融资,金融,4209376,行业领先的薪酬+高额年终奖+节日福利,500-2000人,"['节日礼物', '带薪年假', '绩效奖金', '岗位晋升']",南山区,"['Java', 'iOS']",113.94727,22.5466,深圳前海用友力合金融服务有限公司
1015,Android工程师,3-5年,本科,全职,15k-25k,A轮,移动互联网,367632,"自由的工作氛围，待遇好,不加班,发展前景好",50-150人,"['媲美名企高薪', '无限量零食', '五险一金', '年度旅游']",南山区,['移动端'],113.94416376,22.55322309,心灵失重（北京）科技有限公司
384,Android开发工程师,3-5年,本科,全职,15k-25k,C轮,"移动互联网,O2O",3873852,"独角兽公司,六险一金,领导专业,团队氛围好",2000人以上,"['股票期权', '五险一金', '带薪年假', '节日礼物']",南山区,['移动端'],113.933274,22.54156,深圳市彬讯科技有限公司
212786,中高级Android开发工程师,5-10年,大专,全职,12k-20k,天使轮,"移动互联网,数据服务",4243320,"年轻团队,晋升机会多,节日福利",50-150人,"['带薪年假', '年底双薪', '弹性工作', '年度旅游']",南山区,"['C++', 'Java']",113.941629,22.526905,深圳锚链科技有限公司
22457,android开发工程师,1-3年,大专,全职,8k-15k,未融资,"移动互联网,企业服务",3843558,"五险一金,带薪年假,节日福利,绩效",500-2000人,"['绩效奖金', '五险一金', '节日礼物', '年度旅游']",龙华新区,"['视频', '移动端', 'C++', 'Java', 'iOS']",114.037977,22.639888,深圳市博实结科技有限公司
2044,Android开发工程师,3-5年,本科,全职,8k-16k,C轮,"金融,移动互联网",3731351,"弹性工作制,氛围轻松,下午茶",500-2000人,"['股票期权', '绩效奖金', '年底双薪', '五险一金']",南山区,"['理财', 'Java']",113.943551,22.548179,深圳市金斧子网络科技有限公司
451,Android研发工程师（深圳）,1-3年,本科,全职,20k-40k,上市公司,"移动互联网 ,游戏",3854359,"大平台,强福利,技术氛围好",2000人以上,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",南山区,['VoIP'],113.952731,22.535766,腾讯科技(深圳)有限公司
6927,安卓客户端开发工程师,3-5年,本科,全职,15k-30k,不需要融资,移动互联网,2757745,亿级用户 高速增长 给力薪酬 海景办公,2000人以上,"['丰厚年终', '扁平管理', '追求极致', '本分']",,"['Android', 'Java']",121.496072,31.227203,广东欧珀移动通信有限公司
1868,移动终端研发工程师-IOS/Android,5-10年,本科,全职,20k-40k,上市公司,"移动互联网,金融",3991410,"世界500,发展空间大,福利待遇好",2000人以上,"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']",南山区,"['移动端', 'Java', 'APP研发']",113.993578,22.99368,中国平安财产保险股份有限公司
101166,安卓开发工程师,1-3年,本科,全职,8k-12k,B轮,移动互联网,4219595,"弹性工作,个人成长快,福利待遇优,公司氛围好",50-150人,"['绩效奖金', '岗位晋升', '领导好', '美女多']",宝安区,"['Android', 'opengl', '界面开发']",113.88064,22.54907,深圳进化动力数码科技有限公司
50741,安卓开发,5-10年,本科,全职,15K-25K,天使轮,"移动互联网,分类信息",2722871,项目有趣，有挑战，有回报,15-50人,"['时薪制', '能力说话', '绩效奖金', '股票期权']",南山区,['视频社交'],113.936739,22.523943,深圳谜语者科技有限公司
51478,Android,不限,本科,全职,8k-15k,A轮,"移动互联网,社交网络",432384,高薪+股票，创业核心来自腾讯，获线下投资,50-150人,"['技能培训', '年底双薪', '股票期权', '带薪年假']",南山区,"['社交', 'Java', '移动端']",113.945711,22.545916,深圳小鹅网络技术有限公司
258945,Android软件开发,1-3年,本科,全职,8k-15k,不需要融资,"移动互联网,分类信息",3847982,"五险一金,节日福利",50-150人,[],宝安区,"['Android SDK', 'http协议', 'Android OS']",113.921569,22.573367,深圳市世纪天元科技有限公司
26399,Android高级开发工程师,3-5年,本科,全职,20k-25k,A轮,移动互联网,1522337,季度奖+年终奖+期权+无限发展空间,50-150人,"['带薪年假', '绩效奖金', '年度旅游', '扁平管理']",南山区,"['Java', 'iOS', 'SDK']",113.90878594,22.54904639,珠海云迈网络科技有限公司
295257,Android开发工程师,1-3年,本科,全职,10K-15K,A轮,"移动互联网,硬件",3907257,"五险一金,带薪年假,公司骨干",15-50人,"['股票期权', '年底双薪', '专项奖金', '绩效奖金']",福田区,"['硬件制造', '移动端', 'C++']",114.020739,22.534221,深圳市刷新智能电子有限公司
50241,Android,3-5年,本科,全职,12k-17k,未融资,"移动互联网,电子商务",4230701,"大数据,分布式,老板好,福利好",2000人以上,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']",福田区,"['中级', '软件开发', 'C++', 'Java']",0.0,0.0,信必优(深圳)信息技术有限公司
16831,Android开发工程师,3-5年,大专,全职,10k-15k,不需要融资,移动互联网,3179851,"六险一金,法定假期,节日福利",2000人以上,"['带薪年假', '计算机软件', '管理规范', '定期体检']",南山区,"['中级', 'http', 'Crash', 'ANR']",113.940213,22.524499,武汉佰钧成技术有限责任公司
41178,Android工程师,3-5年,大专,全职,15k-20k,C轮,"移动互联网,O2O",3759185,"发展前景,团队氛围,每天下午茶",500-2000人,"['技能培训', '专项奖金', '绩效奖金', '岗位晋升']",福田区,"['电商', '软件开发', 'Java']",114.056338,22.56354,广州依时货拉拉科技有限公司
36560,Android开发工程师,3-5年,本科,全职,10k-20k,C轮,金融,565901,热门开发岗位、5天7小时、工作氛围轻松愉快,150-500人,"['节日礼物', '年底双薪', '带薪年假', '创业团队']",福田区,"['Java', 'iOS', '移动端', '架构']",114.02985035,22.53548003,深圳合时代金融服务有限公司
35996,android移动端开发工程师,3-5年,本科,全职,15k-25k,不需要融资,"移动互联网,电子商务",3364902,"福利佳,氛围好",500-2000人,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",南山区,"['js', 'C++', 'Java']",113.940213,22.524499,顺丰科技有限公司
67118,Android工程师,不限,本科,全职,15k-20k,B轮,移动互联网,3540722,"资深,Java,高级",150-500人,"['年底双薪', '技能培训', '绩效奖金', '岗位晋升']",南山区,"['软件开发', 'C++', 'Java']",113.938868,22.523006,达闼科技（北京）有限公司
451,Android高级工程师,不限,本科,全职,25k-50k,上市公司,"移动互联网 ,游戏",2868377,"大平台,最前沿",2000人以上,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",南山区,"['视频', '中级', '全栈', '移动端']",0.0,0.0,腾讯科技(深圳)有限公司
50241,移动端开发Android/安卓/IOS,5-10年,大专,全职,18k-20k,未融资,"移动互联网,电子商务",4101956,"13薪,六险一金,8天年薪,其他福利",2000人以上,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']",罗湖区,['Java'],114.11065,22.542724,信必优(深圳)信息技术有限公司
101166,高级安卓开发工程师,3-5年,本科,全职,15k-20k,B轮,移动互联网,3933898,"弹性工作,节假日福利,五险一金,包吃",50-150人,"['绩效奖金', '岗位晋升', '领导好', '美女多']",宝安区,"['视频', 'C++', 'Android', 'iOS']",113.88064,22.54907,深圳进化动力数码科技有限公司
15175,高级Android开发工程师,5-10年,本科,全职,20k-40k,上市公司,移动互联网,3713461,"福利多多,年底奖金,行业top,弹性时间",2000人以上,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",南山区,"['资深', 'C++', 'Java', 'iOS']",113.944704,22.538345,深圳乐信控股有限公司
113576,Android开发工程师,3-5年,本科,全职,10k-20k,不需要融资,"移动互联网,医疗健康",1910017,福利待遇优厚，工作具有挑战性,150-500人,"['股票期权', '一年14薪', '绩效奖金', '扁平管理']",南山区,['移动端'],113.94397144,22.52862134,深圳三代人科技有限公司
125824,Android开发工程师,1年以下,本科,全职,8k-12k,天使轮,数据服务,4248197,"工作有趣,产品有前景,逗逼青年营,氛围活跃",15-50人,"['绩效奖金', '股票期权', '年终奖', '定期调薪']",南山区,"['底层开发', 'NDK', 'APK反编译']",113.941916,22.533957,深圳市比特穿越科技有限公司
33627,Android,1-3年,本科,全职,10k-15k,A轮,"移动互联网,游戏",2951720,"海外手游,鹅厂大神,高配团队",150-500人,"['技术大牛', '高逼格环境', '两次年度旅游', '福利倍儿好']",南山区,"['Java', '手机游戏', '定制']",113.94604,22.533413,深圳市乐易网络有限公司
10839,Android开发工程师,不限,本科,全职,12k以上,A轮,移动互联网,260772,薪酬福利好 工作氛围佳 弹性工作时间,15-50人,"['年底双薪', '绩效奖金', '弹性工作', '晋升快']",南山区,['移动端'],113.95776043,22.53816993,深圳市微智云科技有限公司
293478,android软件开发工程师,1-3年,本科,全职,10k-20k,未融资,医疗健康,3934383,"前沿行业,成长空间,新技能",少于15人,"['绩效奖金', '年终分红', '交通补助', '通讯津贴']",南山区,"['高级', '全栈', 'Java', 'ionic', 'JavaScript']",0.0,0.0,深圳市深湾创新投资管理有限公司
